site;habitat;Aphotopontius_acanthinus;Aphotopontius_arcuatus;Aphotopontius_flexispina;Aphotopontius_hydronauticus ;Aphotopontius_limatulus;Aphotopontius_mammilatus;Aphotopontius_probolus;Benthoxynus_tumidiseta;Ceuthocetes_introversus;Ceuthoecetes_acanthotrix;Ceuthoecetes_aliger;Ceuthoecetes_Nilva_juvenile;copepodites;Dirivultidae_juvenile;Ecbathyrion_prolixicauda;Nilva_torifera;Rhogobius_sp;Scotoecetes_introrsus;Stygiopontius_appositus;Stygiopontius_flexus;Stygiopontius_hispidulus;Stygiopontius_mucroniferus;Stygiopontius_paxillifer ;Stygiopontius_sentifer;Stygiopontius_stabilitus
SUBLIFE;PW_2023;0;0;0;0;0;0;0;0;0;1,25;0;0;0;0;0;0,5;0;0;5,25;0;92,42;0;0;0,58;0
SUBLIFE;TM_2023;2,03;0,68;0;0;0,66;32,81;0;0;0;36,98;0;0;2,25;0;0;6,31;5,41;1,69;0;0;11,27;0;0;0;0
Michel's Vent;PW_pre;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,33;99,02;0;0;0,66;0
Alvinella Pillar;PW_pre;0;0;0;0;0;0;0;0;0;0;0;0;1,07;0;0;0;0;0;0;0;88,45;0;6,22;4,08;0,18
Bio 9 1;PW_pre;0;0;0;0;0;0;0;0;0;0;0;0;0,35;0;0;0;0;0;0;0;96,48;0;1,93;1,23;0
M Vent;PW_pre;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;96,67;0;2,5;0,83;0
Q Vent;PW_pre;0;0,25;0;0;0;0;0;0;0;0;0;0;0;0;0,76;0;0;0;0;0;97,23;0;1,51;0,25;0
Tica 1;TM_pre;0,46;0;0;0,92;0;0;1,84;0;23,5;20,28;26,73;0;25,81;0;0;0;0,46;0;0;0;0;0;0;0;0
Tica 2;TM_pre;0;0;0;0;0;0,39;0;14,51;3,14;3,14;1,96;0;10,59;0;0;0;0;60,78;0;4,31;1,18;0;0;0;0
Tica 3;TM_pre;10,19;0;0,38;8,68;0;8,68;6,79;1,13;12,45;13,21;13,96;0;19,24;0;0;0;2,64;1,51;0;1,13;0;0;0;0;0
Riftia Field 1;TM_pre;0;0;0;5,26;0;0;10,53;0;0;0;0;0;5,26;0;0;0;0;57,89;0;21,05;0;0;0;0;0
Riftia Field 2;TM_pre;0;0;0;0;0;0;0;34,88;23,26;0;0;0;25,58;0;0;0;0;13,95;0;2,33;0;0;0;0;0
Riftia Field 3;TM_pre;0;0;0;4,35;0;1,45;1,45;0;4,35;4,35;5,8;0;24,64;0;0;0;0;36,97;0;8,7;6,52;0,72;0;0;0,72
Sketchy 1;TM_post;0;0;0;0;40;20;0;10;0;0;0;0;0;30;0;0;0;0;0;0;0;0;0;0;0
Sketchy 2;TM_post;25;0;0;0;37,5;12,5;0;0;0;0;0;0;0;25;0;0;0;0;0;0;0;0;0;0;0
Sketchy 3;TM_post;20;0;0;0;20;20;0;20;0;0;0;0;0;20;0;0;0;0;0;0;0;0;0;0;0
P Vent 1;TM_post;27,55;0;0;0;0;0;0;53,06;0;0;0;0;0;0;0;0;0;17,86;0;1,02;0,51;0;0;0;0
P Vent 2;TM_post;2,56;0;0;0;0;0;0;56,41;0;0;0;0;0;0,51;0;0;0;40;0;0,51;0;0;0;0;0
P Vent 3;TM_post;94,97;0;0;0;0;0;0;0,5;0;0;0;0;0;1;0;0;0;3,52;0;0;0;0;0;0;0
P Vent 4;TM_post;10;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
P Vent 5;TM_post;20;80;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
P Vent 6;TM_post;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Tica 4;TM_post;97,5;0;0;0;0;0;0;0;0;0;0;0;0;2,5;0;0;0;0;0;0;0;0;0;0;0
Tica 5;TM_post;11,76;0;0;0;0;0;0;0;0;0;0;0;0;47,06;5,88;0;0;0;0;0;35,29;0;0;0;0
Tica 6;TM_post;94;0;0;0;2;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0
Tica 7;TM_post;0;5,26;0;0;5,26;0;0;0;0;0;0;0;0;57,89;21,05;0;0;10,53;0;0;0;0;0;0;0
Tica 8;TM_post;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0
Tica 9;TM_post;0;9,09;0;0;0;0;0;0;0;0;0;0;0;81,82;0;0;0;9,09;0;0;0;0;0;0;0
Tica 10;TM_post;7,89;0;0;0;2,63;44,74;0;0;0;7,89;0;21,05;0;7,89;0;7,89;0;0;0;0;0;0;0;0;0
Tica 11;TM_post;11,11;11,11;0;0;33,33;0;0;0;0;0;0;0;0;44,44;0;0;0;0;0;0;0;0;0;0;0
Tica 12;TM_post;0;0;0;0;0;33,33;0;0;0;33,33;0;0;0;33,33;0;0;0;0;0;0;0;0;0;0;0
Bio 9;PW_post;6;0;0;0;0;0;0;0;0;0;0;0;0;1,5;0;0;0;0;0;0;92,5;0;0;0;0
